EmployeeID,FirstName,LastName,Gender,DOB,Age,SSN
E00001,Silje,Berge,F,1961-03-02,64,14124015341
E00002,Elise,Svendsen,F,1966-06-10,59,09104637660
E00003,Andreas,Ahmed,M,1965-11-03,60,13118732825
E00004,Anna,Myhre,F,1972-12-30,53,31034314759
E00005,Randi,Hansen,F,1959-11-28,66,29053944645
E00006,Julie,Hansen,F,1970-01-17,55,01038806196
E00007,Kirsten,Bakken,F,1983-11-23,42,16087602706
E00008,May,Berg,F,1985-03-23,40,30050090996
E00009,Kjetil,Nguyen,M,1972-07-20,53,09044402251
E00010,Wenche,Haugen,F,1964-11-23,61,06088624457
E00011,Liv,Pettersen,F,1984-04-16,41,21119222394
E00012,Sofie,Halvorsen,F,2007-03-23,18,27024634286
E00013,Else,Kristoffersen,F,1985-04-15,40,07048343443
E00014,Wenche,Vik,F,1963-04-10,62,07128620634
E00015,Hilde,Andresen,F,1973-10-28,52,06085625770
E00016,Eli,Hagen,F,1968-12-19,57,10058547919
E00017,Magnus,Nielsen,M,1986-08-24,39,03017508880
E00018,Marie,Aune,F,1962-09-03,63,24089740211
E00019,Thomas,Karlsen,M,2000-01-19,25,13100174957
E00020,Morten,Mathisen,M,1976-07-28,49,06115743048
E00021,Stine,Mikkelsen,F,1977-08-15,48,12073807504
E00022,Line,Christensen,F,1990-05-05,35,11030782382
E00023,Ole,Bakke,M,2002-01-06,23,15098009415
E00024,Vidar,Christensen,M,1996-03-03,29,17083738421
E00025,Ola,Abrahamsen,M,1967-01-29,58,01127415907
E00026,Bjørg,Arnesen,F,1992-07-15,33,10040158605
E00027,Mona,Dahl,F,1977-07-03,48,22026013937
E00028,Vegard,Strøm,M,2006-05-30,19,08068925534
E00029,Linn,Martinsen,F,1990-03-10,35,16089621066
E00030,Randi,Moe,F,1975-02-15,50,09095400067
E00031,Tommy,Pedersen,M,1963-06-22,62,11128602404
E00032,Berit,Madsen,F,1975-08-30,50,01078208909
E00033,Rune,Larsen,M,1976-01-01,49,02023726370
E00034,Egil,Bakken,M,2004-04-23,21,23106843112
E00035,Asbjørn,Johansen,M,1982-07-22,43,29083515285
E00036,Gerd,Mikkelsen,F,1989-12-29,36,27119411594
E00037,Morten,Gulbrandsen,M,1964-08-05,61,23096703899
E00038,Anette,Aune,F,1975-07-21,50,24079231734
E00039,Harald,Johansen,M,1963-06-16,62,17099200707
E00040,Helene,Ødegård,F,1990-06-06,35,21118144977
E00041,Svein,Sæther,M,1992-08-01,33,05089318280
E00042,Asbjørn,Nielsen,M,1996-05-12,29,05010253189
